"","vector","type","label","units","parent_vector","aggregation","details"
"78","v_CA21_78","Male","16","Number","v_CA21_72","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 16"
"79","v_CA21_79","Female","16","Number","v_CA21_73","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 16"
"80","v_CA21_80","Total","17","Number","v_CA21_71","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 17"
"81","v_CA21_81","Male","17","Number","v_CA21_72","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 17"
"82","v_CA21_82","Female","17","Number","v_CA21_73","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 17"
"83","v_CA21_83","Total","18","Number","v_CA21_71","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 18"
"84","v_CA21_84","Male","18","Number","v_CA21_72","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 18"
"85","v_CA21_85","Female","18","Number","v_CA21_73","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 18"
"86","v_CA21_86","Total","19","Number","v_CA21_71","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 19"
"87","v_CA21_87","Male","19","Number","v_CA21_72","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 19"
"88","v_CA21_88","Female","19","Number","v_CA21_73","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 15 to 19 years; 19"
"89","v_CA21_89","Total","20 to 24 years","Number","v_CA21_68","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years"
"90","v_CA21_90","Male","20 to 24 years","Number","v_CA21_69","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years"
"91","v_CA21_91","Female","20 to 24 years","Number","v_CA21_70","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years"
"92","v_CA21_92","Total","20","Number","v_CA21_89","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 20"
"93","v_CA21_93","Male","20","Number","v_CA21_90","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 20"
"94","v_CA21_94","Female","20","Number","v_CA21_91","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 20"
"95","v_CA21_95","Total","21","Number","v_CA21_89","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 21"
"96","v_CA21_96","Male","21","Number","v_CA21_90","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 21"
"97","v_CA21_97","Female","21","Number","v_CA21_91","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 21"
"98","v_CA21_98","Total","22","Number","v_CA21_89","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 22"
"99","v_CA21_99","Male","22","Number","v_CA21_90","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 22"
"100","v_CA21_100","Female","22","Number","v_CA21_91","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 22"
"101","v_CA21_101","Total","23","Number","v_CA21_89","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 23"
"102","v_CA21_102","Male","23","Number","v_CA21_90","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 23"
"103","v_CA21_103","Female","23","Number","v_CA21_91","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 23"
"104","v_CA21_104","Total","24","Number","v_CA21_89","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 24"
"105","v_CA21_105","Male","24","Number","v_CA21_90","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 24"
"106","v_CA21_106","Female","24","Number","v_CA21_91","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 20 to 24 years; 24"
"107","v_CA21_107","Total","25 to 29 years","Number","v_CA21_68","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years"
"108","v_CA21_108","Male","25 to 29 years","Number","v_CA21_69","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years"
"109","v_CA21_109","Female","25 to 29 years","Number","v_CA21_70","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years"
"110","v_CA21_110","Total","25","Number","v_CA21_107","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 25"
"111","v_CA21_111","Male","25","Number","v_CA21_108","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 25"
"112","v_CA21_112","Female","25","Number","v_CA21_109","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 25"
"113","v_CA21_113","Total","26","Number","v_CA21_107","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 26"
"114","v_CA21_114","Male","26","Number","v_CA21_108","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 26"
"115","v_CA21_115","Female","26","Number","v_CA21_109","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 26"
"116","v_CA21_116","Total","27","Number","v_CA21_107","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 27"
"117","v_CA21_117","Male","27","Number","v_CA21_108","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 27"
"118","v_CA21_118","Female","27","Number","v_CA21_109","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 27"
"119","v_CA21_119","Total","28","Number","v_CA21_107","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 28"
"120","v_CA21_120","Male","28","Number","v_CA21_108","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 28"
"121","v_CA21_121","Female","28","Number","v_CA21_109","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 28"
"122","v_CA21_122","Total","29","Number","v_CA21_107","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 29"
"123","v_CA21_123","Male","29","Number","v_CA21_108","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 29"
"124","v_CA21_124","Female","29","Number","v_CA21_109","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 25 to 29 years; 29"
"125","v_CA21_125","Total","30 to 34 years","Number","v_CA21_68","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years"
"126","v_CA21_126","Male","30 to 34 years","Number","v_CA21_69","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years"
"127","v_CA21_127","Female","30 to 34 years","Number","v_CA21_70","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years"
"128","v_CA21_128","Total","30","Number","v_CA21_125","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 30"
"129","v_CA21_129","Male","30","Number","v_CA21_126","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 30"
"130","v_CA21_130","Female","30","Number","v_CA21_127","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 30"
"131","v_CA21_131","Total","31","Number","v_CA21_125","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 31"
"132","v_CA21_132","Male","31","Number","v_CA21_126","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 31"
"133","v_CA21_133","Female","31","Number","v_CA21_127","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 31"
"134","v_CA21_134","Total","32","Number","v_CA21_125","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 32"
"135","v_CA21_135","Male","32","Number","v_CA21_126","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 32"
"136","v_CA21_136","Female","32","Number","v_CA21_127","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 32"
"137","v_CA21_137","Total","33","Number","v_CA21_125","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 33"
"138","v_CA21_138","Male","33","Number","v_CA21_126","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 33"
"139","v_CA21_139","Female","33","Number","v_CA21_127","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 33"
"140","v_CA21_140","Total","34","Number","v_CA21_125","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 34"
"141","v_CA21_141","Male","34","Number","v_CA21_126","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 34"
"142","v_CA21_142","Female","34","Number","v_CA21_127","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 30 to 34 years; 34"
"143","v_CA21_143","Total","35 to 39 years","Number","v_CA21_68","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years"
"144","v_CA21_144","Male","35 to 39 years","Number","v_CA21_69","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years"
"145","v_CA21_145","Female","35 to 39 years","Number","v_CA21_70","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years"
"146","v_CA21_146","Total","35","Number","v_CA21_143","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 35"
"147","v_CA21_147","Male","35","Number","v_CA21_144","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 35"
"148","v_CA21_148","Female","35","Number","v_CA21_145","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 35"
"149","v_CA21_149","Total","36","Number","v_CA21_143","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 36"
"150","v_CA21_150","Male","36","Number","v_CA21_144","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 36"
"151","v_CA21_151","Female","36","Number","v_CA21_145","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 36"
"152","v_CA21_152","Total","37","Number","v_CA21_143","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 37"
"153","v_CA21_153","Male","37","Number","v_CA21_144","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 37"
"154","v_CA21_154","Female","37","Number","v_CA21_145","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 37"
"155","v_CA21_155","Total","38","Number","v_CA21_143","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 38"
"156","v_CA21_156","Male","38","Number","v_CA21_144","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 38"
"157","v_CA21_157","Female","38","Number","v_CA21_145","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 38"
"158","v_CA21_158","Total","39","Number","v_CA21_143","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 39"
"159","v_CA21_159","Male","39","Number","v_CA21_144","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 39"
"160","v_CA21_160","Female","39","Number","v_CA21_145","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 35 to 39 years; 39"
"161","v_CA21_161","Total","40 to 44 years","Number","v_CA21_68","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years"
"162","v_CA21_162","Male","40 to 44 years","Number","v_CA21_69","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years"
"163","v_CA21_163","Female","40 to 44 years","Number","v_CA21_70","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years"
"164","v_CA21_164","Total","40","Number","v_CA21_161","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 40"
"165","v_CA21_165","Male","40","Number","v_CA21_162","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 40"
"166","v_CA21_166","Female","40","Number","v_CA21_163","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 40"
"167","v_CA21_167","Total","41","Number","v_CA21_161","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 41"
"168","v_CA21_168","Male","41","Number","v_CA21_162","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 41"
"169","v_CA21_169","Female","41","Number","v_CA21_163","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 41"
"170","v_CA21_170","Total","42","Number","v_CA21_161","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 42"
"171","v_CA21_171","Male","42","Number","v_CA21_162","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 42"
"172","v_CA21_172","Female","42","Number","v_CA21_163","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 42"
"173","v_CA21_173","Total","43","Number","v_CA21_161","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 43"
"174","v_CA21_174","Male","43","Number","v_CA21_162","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 43"
"175","v_CA21_175","Female","43","Number","v_CA21_163","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 43"
"176","v_CA21_176","Total","44","Number","v_CA21_161","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 44"
"177","v_CA21_177","Male","44","Number","v_CA21_162","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 44"
"178","v_CA21_178","Female","44","Number","v_CA21_163","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 40 to 44 years; 44"
"179","v_CA21_179","Total","45 to 49 years","Number","v_CA21_68","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 45 to 49 years"
"180","v_CA21_180","Male","45 to 49 years","Number","v_CA21_69","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 45 to 49 years"
"181","v_CA21_181","Female","45 to 49 years","Number","v_CA21_70","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 45 to 49 years"
"182","v_CA21_182","Total","45","Number","v_CA21_179","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 45 to 49 years; 45"
"183","v_CA21_183","Male","45","Number","v_CA21_180","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 45 to 49 years; 45"
"184","v_CA21_184","Female","45","Number","v_CA21_181","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 45 to 49 years; 45"
"185","v_CA21_185","Total","46","Number","v_CA21_179","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 45 to 49 years; 46"
"186","v_CA21_186","Male","46","Number","v_CA21_180","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 45 to 49 years; 46"
"187","v_CA21_187","Female","46","Number","v_CA21_181","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 45 to 49 years; 46"
"188","v_CA21_188","Total","47","Number","v_CA21_179","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 45 to 49 years; 47"
"189","v_CA21_189","Male","47","Number","v_CA21_180","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 45 to 49 years; 47"
"190","v_CA21_190","Female","47","Number","v_CA21_181","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 45 to 49 years; 47"
"191","v_CA21_191","Total","48","Number","v_CA21_179","Additive","CA 2021 Census; 100% data; Total - Age; 15 to 64 years; 45 to 49 years; 48"
